BREAK DATE,BREAK YEAR,X COORD,Y COORD
1/20/1990,1990,302823.948,4839419.641
1/20/1990,1990,305551.247,4831923.661
1/20/1990,1990,314230.440,4848240.200
1/20/1990,1990,299397.134,4835527.316
1/20/1990,1990,323216.853,4843324.885
1/21/1990,1990,299099.554,4833823.913
1/21/1990,1990,308398.953,4835496.309
1/21/1990,1990,320700.367,4845023.567
1/22/1990,1990,301138.070,4836945.697
1/22/1990,1990,316358.781,4848770.783
1/22/1990,1990,300892.136,4838831.384
1/22/1990,1990,302765.096,4839125.601
1/22/1990,1990,308730.822,4849717.340
1/22/1990,1990,300936.681,4834976.643
1/23/1990,1990,323875.733,4843224.355
1/23/1990,1990,315416.814,4845747.907
1/23/1990,1990,309945.379,4846980.133
1/23/1990,1990,303402.595,4840722.631
1/23/1990,1990,325544.507,4842549.297
1/23/1990,1990,324603.290,4843919.027
1/23/1990,1990,320866.307,4845372.307
1/23/1990,1990,328437.372,4844420.632
1/23/1990,1990,299285.799,4836797.199
1/23/1990,1990,314785.343,4834190.598
1/24/1990,1990,301736.011,4838564.255
1/24/1990,1990,323885.771,4842502.133
1/24/1990,1990,311300.744,4849286.671
1/24/1990,1990,325379.713,4845678.995
1/25/1990,1990,299500.000,4845812.574
1/25/1990,1990,313080.695,4844143.259
1/25/1990,1990,314328.240,4849879.300
1/25/1990,1990,302289.727,4835220.002
1/25/1990,1990,301138.737,4835254.636
1/26/1990,1990,300768.999,4834570.279
1/26/1990,1990,320792.936,4840342.454
1/26/1990,1990,299365.254,4846118.355
1/26/1990,1990,299917.578,4834824.266
1/26/1990,1990,315938.622,4850635.091
1/26/1990,1990,305614.736,4838330.328
1/26/1990,1990,308845.654,4840336.059
1/27/1990,1990,298463.439,4834700.003
1/27/1990,1990,308153.807,4847168.839
1/27/1990,1990,310448.118,4836632.768
1/27/1990,1990,322746.631,4845928.602
1/27/1990,1990,310414.258,4849735.837
1/27/1990,1990,306438.647,4839005.963
1/28/1990,1990,319800.643,4851321.203
1/28/1990,1990,319347.650,4847659.494
1/28/1990,1990,301627.633,4844736.331
1/28/1990,1990,301023.499,4832645.040
1/28/1990,1990,303926.447,4837610.330
1/28/1990,1990,310189.637,4849877.112
1/28/1990,1990,319330.118,4850466.745
1/28/1990,1990,310254.846,4832336.654
1/28/1990,1990,321082.551,4840666.295
1/28/1990,1990,319193.321,4847708.243
1/29/1990,1990,301509.225,4837923.081
1/29/1990,1990,299124.190,4840733.326
1/29/1990,1990,299928.555,4845070.812
1/29/1990,1990,324291.898,4846239.201
1/29/1990,1990,300743.161,4833224.889
1/29/1990,1990,300581.083,4833720.573
1/30/1990,1990,317188.000,4843198.740
1/30/1990,1990,322235.946,4851481.683
1/30/1990,1990,298330.743,4833286.054
1/30/1990,1990,305304.674,4843561.619
1/30/1990,1990,309372.177,4845970.862
1/30/1990,1990,306334.957,4838964.437
1/31/1990,1990,315530.077,4844297.827
1/31/1990,1990,330163.656,4845923.831
1/31/1990,1990,314817.759,4848404.519
1/31/1990,1990,308423.633,4849523.020
1/31/1990,1990,297562.236,4841542.991
1/31/1990,1990,313333.293,4848957.627
1/31/1990,1990,322018.373,4846088.066
1/31/1990,1990,319368.891,4847666.311
1/31/1990,1990,306431.529,4839080.649
1/31/1990,1990,320985.325,4851475.832
2/1/1990,1990,312355.308,4847678.914
2/1/1990,1990,322936.455,4843860.577
2/1/1990,1990,306484.676,4841455.698
2/1/1990,1990,326924.706,4847512.902
2/1/1990,1990,319536.529,4838603.042
2/1/1990,1990,300386.579,4832582.423
2/1/1990,1990,321161.286,4850238.072
2/1/1990,1990,299830.892,4842585.835
2/1/1990,1990,323367.550,4843372.891
2/1/1990,1990,307491.145,4837634.178
2/2/1990,1990,325325.370,4840485.265
2/2/1990,1990,320926.277,4848542.357
2/2/1990,1990,315598.364,4841563.176
2/2/1990,1990,328365.183,4847883.626
2/2/1990,1990,323727.547,4850395.590
2/2/1990,1990,323364.310,4841258.355
2/2/1990,1990,300126.956,4834324.547
2/3/1990,1990,324948.926,4845003.692
2/3/1990,1990,306189.423,4843509.657
2/3/1990,1990,308283.349,4845159.999
2/4/1990,1990,313369.699,4845281.697
2/4/1990,1990,325055.267,4844928.101
2/4/1990,1990,302653.932,4847088.834
2/4/1990,1990,322984.674,4842745.196
2/4/1990,1990,301412.099,4834168.364
2/4/1990,1990,300171.139,4833693.089
2/4/1990,1990,324609.309,4842925.537
2/4/1990,1990,300172.242,4839715.726
2/4/1990,1990,325179.425,4842315.080
2/5/1990,1990,304208.406,4844395.567
2/5/1990,1990,318361.954,4850073.000
2/5/1990,1990,300269.195,4839549.380
2/5/1990,1990,313832.270,4842198.244
2/5/1990,1990,303276.925,4828586.859
2/5/1990,1990,299047.921,4837258.361
2/5/1990,1990,328661.957,4844025.035
2/5/1990,1990,327027.495,4845943.662
2/5/1990,1990,303539.284,4835437.124
2/5/1990,1990,308505.618,4847186.673
2/6/1990,1990,300430.848,4828755.835
2/6/1990,1990,299917.461,4834338.825
2/6/1990,1990,307345.200,4840786.649
2/6/1990,1990,301645.948,4833881.452
2/6/1990,1990,303676.057,4833496.377
2/6/1990,1990,300097.631,4842595.140
2/6/1990,1990,308415.819,4846420.606
2/6/1990,1990,300578.406,4842496.146
2/6/1990,1990,302727.729,4836115.494
2/6/1990,1990,304609.549,4831495.835
2/6/1990,1990,314124.895,4837108.681
2/6/1990,1990,303250.602,4828672.748
2/7/1990,1990,309430.743,4844229.494
2/7/1990,1990,319969.800,4843874.840
2/7/1990,1990,305642.726,4832991.070
2/7/1990,1990,319891.992,4845708.706
2/7/1990,1990,303969.237,4842743.984
2/7/1990,1990,303086.924,4840757.631
2/8/1990,1990,324973.875,4844410.877
2/8/1990,1990,314290.914,4848375.239
2/8/1990,1990,309134.223,4845211.556
2/9/1990,1990,301153.658,4837133.321
2/9/1990,1990,303734.181,4832723.551
2/9/1990,1990,305365.495,4837902.922
2/9/1990,1990,313420.824,4849493.531
2/10/1990,1990,302687.904,4841259.249
2/10/1990,1990,300133.128,4844905.553
2/10/1990,1990,326211.223,4848913.061
2/10/1990,1990,307880.336,4840970.979
2/10/1990,1990,321973.272,4845906.338
2/10/1990,1990,315162.394,4847015.080
2/10/1990,1990,302460.018,4835847.504
2/10/1990,1990,302660.975,4844984.599
2/10/1990,1990,309948.002,4842580.500
2/10/1990,1990,310848.799,4840949.118
2/10/1990,1990,319682.098,4848504.894
2/11/1990,1990,300842.204,4837525.284
2/11/1990,1990,312365.572,4848089.891
2/11/1990,1990,300632.674,4836708.866
2/11/1990,1990,322794.987,4838393.061
2/11/1990,1990,305421.194,4839838.979
2/11/1990,1990,326645.924,4844705.414
